id,name,ic_number,school_id,form_level,class_name,kodkaum,jantina,phone,parent_phone,address,is_target_student
228,"Kumar A/L Raj",050608567890,6,4,"4 Bestari",I,L,012-0000228,019-1000228,"Alamat Murid 228",true
229,"Michelle Wilson",050609567890,6,4,"4 Bestari",L,P,012-0000229,019-1000229,"Alamat Murid 229",true
230,"Ahmad Bin Abdullah",050610567890,6,4,"4 Bestari",M,L,012-0000230,019-1000230,"Alamat Murid 230",true
231,"Siti Binti Hassan",050611567890,6,4,"4 Bestari",M,P,012-0000231,019-1000231,"Alamat Murid 231",true
232,"Ahmad Bin Omar",050612567890,6,4,"4 Cemerlang",M,L,012-0000232,019-1000232,"Alamat Murid 232",true
233,"Siti Binti Rahman",050613567890,6,4,"4 Cemerlang",M,P,012-0000233,019-1000233,"Alamat Murid 233",true
234,"Ahmad Bin Ali",050614567890,6,4,"4 Cemerlang",M,L,012-0000234,019-1000234,"Alamat Murid 234",true
235,"Siti Binti Ahmad",050615567890,6,4,"4 Cemerlang",M,P,012-0000235,019-1000235,"Alamat Murid 235",true
236,"Tan Kar Wai",050616567890,6,4,"4 Cemerlang",C,L,012-0000236,019-1000236,"Alamat Murid 236",true
237,"Wong Li Ying",050617567890,6,4,"4 Cemerlang",C,P,012-0000237,019-1000237,"Alamat Murid 237",true
238,"Kumar A/L Raj",050618567890,6,4,"4 Cemerlang",I,L,012-0000238,019-1000238,"Alamat Murid 238",true
239,"Michelle Wilson",050619567890,6,4,"4 Cemerlang",L,P,012-0000239,019-1000239,"Alamat Murid 239",true
240,"Ahmad Bin Abdullah",050620567890,6,4,"4 Cemerlang",M,L,012-0000240,019-1000240,"Alamat Murid 240",true
241,"Siti Binti Hassan",050621567890,6,4,"4 Cemerlang",M,P,012-0000241,019-1000241,"Alamat Murid 241",true
242,"Ahmad Bin Omar",050622567890,6,4,"4 Cemerlang",M,L,012-0000242,019-1000242,"Alamat Murid 242",true
243,"Siti Binti Rahman",050623567890,6,5,"5 Bestari",M,P,012-0000243,019-1000243,"Alamat Murid 243",true
244,"Ahmad Bin Ali",050624567890,6,5,"5 Bestari",M,L,012-0000244,019-1000244,"Alamat Murid 244",true
245,"Siti Binti Ahmad",050625567890,6,5,"5 Bestari",M,P,012-0000245,019-1000245,"Alamat Murid 245",true
246,"Tan Kar Wai",050626567890,6,5,"5 Bestari",C,L,012-0000246,019-1000246,"Alamat Murid 246",true
247,"Wong Li Ying",050627567890,6,5,"5 Bestari",C,P,012-0000247,019-1000247,"Alamat Murid 247",true
248,"Kumar A/L Raj",050628567890,6,5,"5 Bestari",I,L,012-0000248,019-1000248,"Alamat Murid 248",true
249,"Michelle Wilson",050629567890,6,5,"5 Bestari",L,P,012-0000249,019-1000249,"Alamat Murid 249",true
250,"Ahmad Bin Abdullah",050630567890,6,5,"5 Bestari",M,L,012-0000250,019-1000250,"Alamat Murid 250",true
251,"Siti Binti Hassan",050631567890,6,5,"5 Bestari",M,P,012-0000251,019-1000251,"Alamat Murid 251",true
252,"Ahmad Bin Omar",050632567890,6,5,"5 Bestari",M,L,012-0000252,019-1000252,"Alamat Murid 252",true
253,"Siti Binti Rahman",050633567890,6,5,"5 Bestari",M,P,012-0000253,019-1000253,"Alamat Murid 253",true
254,"Ahmad Bin Ali",050634567890,6,5,"5 Cemerlang",M,L,012-0000254,019-1000254,"Alamat Murid 254",true
255,"Siti Binti Ahmad",050635567890,6,5,"5 Cemerlang",M,P,012-0000255,019-1000255,"Alamat Murid 255",true
256,"Tan Kar Wai",050636567890,6,5,"5 Cemerlang",C,L,012-0000256,019-1000256,"Alamat Murid 256",true
257,"Wong Li Ying",050637567890,6,5,"5 Cemerlang",C,P,012-0000257,019-1000257,"Alamat Murid 257",true
258,"Kumar A/L Raj",050638567890,6,5,"5 Cemerlang",I,L,012-0000258,019-1000258,"Alamat Murid 258",true
259,"Michelle Wilson",050639567890,6,5,"5 Cemerlang",L,P,012-0000259,019-1000259,"Alamat Murid 259",true
260,"Ahmad Bin Abdullah",050640567890,6,5,"5 Cemerlang",M,L,012-0000260,019-1000260,"Alamat Murid 260",true
261,"Siti Binti Hassan",050641567890,6,5,"5 Cemerlang",M,P,012-0000261,019-1000261,"Alamat Murid 261",true
262,"Ahmad Bin Omar",050642567890,6,5,"5 Cemerlang",M,L,012-0000262,019-1000262,"Alamat Murid 262",true
263,"Siti Binti Rahman",050643567890,6,5,"5 Cemerlang",M,P,012-0000263,019-1000263,"Alamat Murid 263",true
264,"Ahmad Bin Ali",050644567890,6,5,"5 Cemerlang",M,L,012-0000264,019-1000264,"Alamat Murid 264",true
265,"Siti Binti Hassan",050701567890,7,4,"4 Bestari",M,P,012-0000265,019-1000265,"Alamat Murid 265",true
266,"Ahmad Bin Omar",050702567890,7,4,"4 Bestari",M,L,012-0000266,019-1000266,"Alamat Murid 266",true
267,"Siti Binti Rahman",050703567890,7,4,"4 Bestari",M,P,012-0000267,019-1000267,"Alamat Murid 267",true
268,"Ahmad Bin Ali",050704567890,7,4,"4 Bestari",M,L,012-0000268,019-1000268,"Alamat Murid 268",true
269,"Siti Binti Ahmad",050705567890,7,4,"4 Bestari",M,P,012-0000269,019-1000269,"Alamat Murid 269",true
270,"Tan Kar Wai",050706567890,7,4,"4 Bestari",C,L,012-0000270,019-1000270,"Alamat Murid 270",true
271,"Wong Li Ying",050707567890,7,4,"4 Bestari",C,P,012-0000271,019-1000271,"Alamat Murid 271",true
272,"Kumar A/L Raj",050708567890,7,4,"4 Bestari",I,L,012-0000272,019-1000272,"Alamat Murid 272",true
273,"Michelle Wilson",050709567890,7,4,"4 Bestari",L,P,012-0000273,019-1000273,"Alamat Murid 273",true
274,"Ahmad Bin Abdullah",050710567890,7,4,"4 Bestari",M,L,012-0000274,019-1000274,"Alamat Murid 274",true
275,"Siti Binti Hassan",050711567890,7,4,"4 Bestari",M,P,012-0000275,019-1000275,"Alamat Murid 275",true
276,"Ahmad Bin Omar",050712567890,7,4,"4 Cemerlang",M,L,012-0000276,019-1000276,"Alamat Murid 276",true
277,"Siti Binti Rahman",050713567890,7,4,"4 Cemerlang",M,P,012-0000277,019-1000277,"Alamat Murid 277",true
278,"Ahmad Bin Ali",050714567890,7,4,"4 Cemerlang",M,L,012-0000278,019-1000278,"Alamat Murid 278",true
279,"Siti Binti Ahmad",050715567890,7,4,"4 Cemerlang",M,P,012-0000279,019-1000279,"Alamat Murid 279",true
280,"Tan Kar Wai",050716567890,7,4,"4 Cemerlang",C,L,012-0000280,019-1000280,"Alamat Murid 280",true
281,"Wong Li Ying",050717567890,7,4,"4 Cemerlang",C,P,012-0000281,019-1000281,"Alamat Murid 281",true
282,"Kumar A/L Raj",050718567890,7,4,"4 Cemerlang",I,L,012-0000282,019-1000282,"Alamat Murid 282",true
283,"Michelle Wilson",050719567890,7,4,"4 Cemerlang",L,P,012-0000283,019-1000283,"Alamat Murid 283",true
284,"Ahmad Bin Abdullah",050720567890,7,4,"4 Cemerlang",M,L,012-0000284,019-1000284,"Alamat Murid 284",true
285,"Siti Binti Hassan",050721567890,7,4,"4 Cemerlang",M,P,012-0000285,019-1000285,"Alamat Murid 285",true
286,"Ahmad Bin Omar",050722567890,7,4,"4 Cemerlang",M,L,012-0000286,019-1000286,"Alamat Murid 286",true
287,"Siti Binti Rahman",050723567890,7,5,"5 Bestari",M,P,012-0000287,019-1000287,"Alamat Murid 287",true
288,"Ahmad Bin Ali",050724567890,7,5,"5 Bestari",M,L,012-0000288,019-1000288,"Alamat Murid 288",true
289,"Siti Binti Ahmad",050725567890,7,5,"5 Bestari",M,P,012-0000289,019-1000289,"Alamat Murid 289",true
290,"Tan Kar Wai",050726567890,7,5,"5 Bestari",C,L,012-0000290,019-1000290,"Alamat Murid 290",true
291,"Wong Li Ying",050727567890,7,5,"5 Bestari",C,P,012-0000291,019-1000291,"Alamat Murid 291",true
292,"Kumar A/L Raj",050728567890,7,5,"5 Bestari",I,L,012-0000292,019-1000292,"Alamat Murid 292",true
293,"Michelle Wilson",050729567890,7,5,"5 Bestari",L,P,012-0000293,019-1000293,"Alamat Murid 293",true
294,"Ahmad Bin Abdullah",050730567890,7,5,"5 Bestari",M,L,012-0000294,019-1000294,"Alamat Murid 294",true
295,"Siti Binti Hassan",050731567890,7,5,"5 Bestari",M,P,012-0000295,019-1000295,"Alamat Murid 295",true
296,"Ahmad Bin Omar",050732567890,7,5,"5 Bestari",M,L,012-0000296,019-1000296,"Alamat Murid 296",true
297,"Siti Binti Rahman",050733567890,7,5,"5 Bestari",M,P,012-0000297,019-1000297,"Alamat Murid 297",true
298,"Ahmad Bin Ali",050734567890,7,5,"5 Cemerlang",M,L,012-0000298,019-1000298,"Alamat Murid 298",true
299,"Siti Binti Ahmad",050735567890,7,5,"5 Cemerlang",M,P,012-0000299,019-1000299,"Alamat Murid 299",true
300,"Tan Kar Wai",050736567890,7,5,"5 Cemerlang",C,L,012-0000300,019-1000300,"Alamat Murid 300",true
301,"Wong Li Ying",050737567890,7,5,"5 Cemerlang",C,P,012-0000301,019-1000301,"Alamat Murid 301",true
302,"Kumar A/L Raj",050738567890,7,5,"5 Cemerlang",I,L,012-0000302,019-1000302,"Alamat Murid 302",true
303,"Michelle Wilson",050739567890,7,5,"5 Cemerlang",L,P,012-0000303,019-1000303,"Alamat Murid 303",true
304,"Ahmad Bin Abdullah",050740567890,7,5,"5 Cemerlang",M,L,012-0000304,019-1000304,"Alamat Murid 304",true
305,"Siti Binti Hassan",050741567890,7,5,"5 Cemerlang",M,P,012-0000305,019-1000305,"Alamat Murid 305",true
306,"Ahmad Bin Omar",050742567890,7,5,"5 Cemerlang",M,L,012-0000306,019-1000306,"Alamat Murid 306",true
307,"Siti Binti Rahman",050743567890,7,5,"5 Cemerlang",M,P,012-0000307,019-1000307,"Alamat Murid 307",true
308,"Ahmad Bin Ali",050744567890,7,5,"5 Cemerlang",M,L,012-0000308,019-1000308,"Alamat Murid 308",true
309,"Siti Binti Hassan",050801567890,8,4,"4 Bestari",M,P,012-0000309,019-1000309,"Alamat Murid 309",true
310,"Ahmad Bin Omar",050802567890,8,4,"4 Bestari",M,L,012-0000310,019-1000310,"Alamat Murid 310",true
311,"Siti Binti Rahman",050803567890,8,4,"4 Bestari",M,P,012-0000311,019-1000311,"Alamat Murid 311",true
312,"Ahmad Bin Ali",050804567890,8,4,"4 Bestari",M,L,012-0000312,019-1000312,"Alamat Murid 312",true
313,"Siti Binti Ahmad",050805567890,8,4,"4 Bestari",M,P,012-0000313,019-1000313,"Alamat Murid 313",true
314,"Tan Kar Wai",050806567890,8,4,"4 Bestari",C,L,012-0000314,019-1000314,"Alamat Murid 314",true
315,"Wong Li Ying",050807567890,8,4,"4 Bestari",C,P,012-0000315,019-1000315,"Alamat Murid 315",true
316,"Kumar A/L Raj",050808567890,8,4,"4 Bestari",I,L,012-0000316,019-1000316,"Alamat Murid 316",true
317,"Michelle Wilson",050809567890,8,4,"4 Bestari",L,P,012-0000317,019-1000317,"Alamat Murid 317",true
318,"Ahmad Bin Abdullah",050810567890,8,4,"4 Bestari",M,L,012-0000318,019-1000318,"Alamat Murid 318",true
319,"Siti Binti Hassan",050811567890,8,4,"4 Bestari",M,P,012-0000319,019-1000319,"Alamat Murid 319",true
320,"Ahmad Bin Omar",050812567890,8,4,"4 Cemerlang",M,L,012-0000320,019-1000320,"Alamat Murid 320",true
321,"Siti Binti Rahman",050813567890,8,4,"4 Cemerlang",M,P,012-0000321,019-1000321,"Alamat Murid 321",true
322,"Ahmad Bin Ali",050814567890,8,4,"4 Cemerlang",M,L,012-0000322,019-1000322,"Alamat Murid 322",true
323,"Siti Binti Ahmad",050815567890,8,4,"4 Cemerlang",M,P,012-0000323,019-1000323,"Alamat Murid 323",true
324,"Tan Kar Wai",050816567890,8,4,"4 Cemerlang",C,L,012-0000324,019-1000324,"Alamat Murid 324",true
325,"Wong Li Ying",050817567890,8,4,"4 Cemerlang",C,P,012-0000325,019-1000325,"Alamat Murid 325",true
326,"Kumar A/L Raj",050818567890,8,4,"4 Cemerlang",I,L,012-0000326,019-1000326,"Alamat Murid 326",true
327,"Michelle Wilson",050819567890,8,4,"4 Cemerlang",L,P,012-0000327,019-1000327,"Alamat Murid 327",true
328,"Ahmad Bin Abdullah",050820567890,8,4,"4 Cemerlang",M,L,012-0000328,019-1000328,"Alamat Murid 328",true
329,"Siti Binti Hassan",050821567890,8,4,"4 Cemerlang",M,P,012-0000329,019-1000329,"Alamat Murid 329",true
330,"Ahmad Bin Omar",050822567890,8,4,"4 Cemerlang",M,L,012-0000330,019-1000330,"Alamat Murid 330",true
331,"Siti Binti Rahman",050823567890,8,5,"5 Bestari",M,P,012-0000331,019-1000331,"Alamat Murid 331",true
332,"Ahmad Bin Ali",050824567890,8,5,"5 Bestari",M,L,012-0000332,019-1000332,"Alamat Murid 332",true
333,"Siti Binti Ahmad",050825567890,8,5,"5 Bestari",M,P,012-0000333,019-1000333,"Alamat Murid 333",true
334,"Tan Kar Wai",050826567890,8,5,"5 Bestari",C,L,012-0000334,019-1000334,"Alamat Murid 334",true
335,"Wong Li Ying",050827567890,8,5,"5 Bestari",C,P,012-0000335,019-1000335,"Alamat Murid 335",true
336,"Kumar A/L Raj",050828567890,8,5,"5 Bestari",I,L,012-0000336,019-1000336,"Alamat Murid 336",true
337,"Michelle Wilson",050829567890,8,5,"5 Bestari",L,P,012-0000337,019-1000337,"Alamat Murid 337",true
338,"Ahmad Bin Abdullah",050830567890,8,5,"5 Bestari",M,L,012-0000338,019-1000338,"Alamat Murid 338",true
339,"Siti Binti Hassan",050831567890,8,5,"5 Bestari",M,P,012-0000339,019-1000339,"Alamat Murid 339",true
340,"Ahmad Bin Omar",050832567890,8,5,"5 Bestari",M,L,012-0000340,019-1000340,"Alamat Murid 340",true
341,"Siti Binti Rahman",050833567890,8,5,"5 Bestari",M,P,012-0000341,019-1000341,"Alamat Murid 341",true
342,"Ahmad Bin Ali",050834567890,8,5,"5 Cemerlang",M,L,012-0000342,019-1000342,"Alamat Murid 342",true
343,"Siti Binti Ahmad",050835567890,8,5,"5 Cemerlang",M,P,012-0000343,019-1000343,"Alamat Murid 343",true
344,"Tan Kar Wai",050836567890,8,5,"5 Cemerlang",C,L,012-0000344,019-1000344,"Alamat Murid 344",true
345,"Wong Li Ying",050837567890,8,5,"5 Cemerlang",C,P,012-0000345,019-1000345,"Alamat Murid 345",true
346,"Kumar A/L Raj",050838567890,8,5,"5 Cemerlang",I,L,012-0000346,019-1000346,"Alamat Murid 346",true
347,"Michelle Wilson",050839567890,8,5,"5 Cemerlang",L,P,012-0000347,019-1000347,"Alamat Murid 347",true
348,"Ahmad Bin Abdullah",050840567890,8,5,"5 Cemerlang",M,L,012-0000348,019-1000348,"Alamat Murid 348",true
349,"Siti Binti Hassan",050841567890,8,5,"5 Cemerlang",M,P,012-0000349,019-1000349,"Alamat Murid 349",true
350,"Ahmad Bin Omar",050842567890,8,5,"5 Cemerlang",M,L,012-0000350,019-1000350,"Alamat Murid 350",true
351,"Siti Binti Rahman",050843567890,8,5,"5 Cemerlang",M,P,012-0000351,019-1000351,"Alamat Murid 351",true
352,"Ahmad Bin Ali",050844567890,8,5,"5 Cemerlang",M,L,012-0000352,019-1000352,"Alamat Murid 352",true
353,"Siti Binti Hassan",050901567890,9,4,"4 Bestari",M,P,012-0000353,019-1000353,"Alamat Murid 353",true
354,"Ahmad Bin Omar",050902567890,9,4,"4 Bestari",M,L,012-0000354,019-1000354,"Alamat Murid 354",true
355,"Siti Binti Rahman",050903567890,9,4,"4 Bestari",M,P,012-0000355,019-1000355,"Alamat Murid 355",true
356,"Ahmad Bin Ali",050904567890,9,4,"4 Bestari",M,L,012-0000356,019-1000356,"Alamat Murid 356",true
357,"Siti Binti Ahmad",050905567890,9,4,"4 Bestari",M,P,012-0000357,019-1000357,"Alamat Murid 357",true
358,"Tan Kar Wai",050906567890,9,4,"4 Bestari",C,L,012-0000358,019-1000358,"Alamat Murid 358",true
359,"Wong Li Ying",050907567890,9,4,"4 Bestari",C,P,012-0000359,019-1000359,"Alamat Murid 359",true
360,"Kumar A/L Raj",050908567890,9,4,"4 Bestari",I,L,012-0000360,019-1000360,"Alamat Murid 360",true
361,"Michelle Wilson",050909567890,9,4,"4 Bestari",L,P,012-0000361,019-1000361,"Alamat Murid 361",true
362,"Ahmad Bin Abdullah",050910567890,9,4,"4 Bestari",M,L,012-0000362,019-1000362,"Alamat Murid 362",true
363,"Siti Binti Hassan",050911567890,9,4,"4 Bestari",M,P,012-0000363,019-1000363,"Alamat Murid 363",true
364,"Ahmad Bin Omar",050912567890,9,4,"4 Cemerlang",M,L,012-0000364,019-1000364,"Alamat Murid 364",true
365,"Siti Binti Rahman",050913567890,9,4,"4 Cemerlang",M,P,012-0000365,019-1000365,"Alamat Murid 365",true
366,"Ahmad Bin Ali",050914567890,9,4,"4 Cemerlang",M,L,012-0000366,019-1000366,"Alamat Murid 366",true
367,"Siti Binti Ahmad",050915567890,9,4,"4 Cemerlang",M,P,012-0000367,019-1000367,"Alamat Murid 367",true
368,"Tan Kar Wai",050916567890,9,4,"4 Cemerlang",C,L,012-0000368,019-1000368,"Alamat Murid 368",true
369,"Wong Li Ying",050917567890,9,4,"4 Cemerlang",C,P,012-0000369,019-1000369,"Alamat Murid 369",true
370,"Kumar A/L Raj",050918567890,9,4,"4 Cemerlang",I,L,012-0000370,019-1000370,"Alamat Murid 370",true
371,"Michelle Wilson",050919567890,9,4,"4 Cemerlang",L,P,012-0000371,019-1000371,"Alamat Murid 371",true
372,"Ahmad Bin Abdullah",050920567890,9,4,"4 Cemerlang",M,L,012-0000372,019-1000372,"Alamat Murid 372",true
373,"Siti Binti Hassan",050921567890,9,4,"4 Cemerlang",M,P,012-0000373,019-1000373,"Alamat Murid 373",true
374,"Ahmad Bin Omar",050922567890,9,4,"4 Cemerlang",M,L,012-0000374,019-1000374,"Alamat Murid 374",true
375,"Siti Binti Rahman",050923567890,9,5,"5 Bestari",M,P,012-0000375,019-1000375,"Alamat Murid 375",true
376,"Ahmad Bin Ali",050924567890,9,5,"5 Bestari",M,L,012-0000376,019-1000376,"Alamat Murid 376",true
377,"Siti Binti Ahmad",050925567890,9,5,"5 Bestari",M,P,012-0000377,019-1000377,"Alamat Murid 377",true
378,"Tan Kar Wai",050926567890,9,5,"5 Bestari",C,L,012-0000378,019-1000378,"Alamat Murid 378",true
379,"Wong Li Ying",050927567890,9,5,"5 Bestari",C,P,012-0000379,019-1000379,"Alamat Murid 379",true
380,"Kumar A/L Raj",050928567890,9,5,"5 Bestari",I,L,012-0000380,019-1000380,"Alamat Murid 380",true
381,"Michelle Wilson",050929567890,9,5,"5 Bestari",L,P,012-0000381,019-1000381,"Alamat Murid 381",true
382,"Ahmad Bin Abdullah",050930567890,9,5,"5 Bestari",M,L,012-0000382,019-1000382,"Alamat Murid 382",true
383,"Siti Binti Hassan",050931567890,9,5,"5 Bestari",M,P,012-0000383,019-1000383,"Alamat Murid 383",true
384,"Ahmad Bin Omar",050932567890,9,5,"5 Bestari",M,L,012-0000384,019-1000384,"Alamat Murid 384",true
385,"Siti Binti Rahman",050933567890,9,5,"5 Bestari",M,P,012-0000385,019-1000385,"Alamat Murid 385",true
386,"Ahmad Bin Ali",050934567890,9,5,"5 Cemerlang",M,L,012-0000386,019-1000386,"Alamat Murid 386",true
387,"Siti Binti Ahmad",050935567890,9,5,"5 Cemerlang",M,P,012-0000387,019-1000387,"Alamat Murid 387",true
388,"Tan Kar Wai",050936567890,9,5,"5 Cemerlang",C,L,012-0000388,019-1000388,"Alamat Murid 388",true
389,"Wong Li Ying",050937567890,9,5,"5 Cemerlang",C,P,012-0000389,019-1000389,"Alamat Murid 389",true
390,"Kumar A/L Raj",050938567890,9,5,"5 Cemerlang",I,L,012-0000390,019-1000390,"Alamat Murid 390",true
391,"Michelle Wilson",050939567890,9,5,"5 Cemerlang",L,P,012-0000391,019-1000391,"Alamat Murid 391",true
392,"Ahmad Bin Abdullah",050940567890,9,5,"5 Cemerlang",M,L,012-0000392,019-1000392,"Alamat Murid 392",true
393,"Siti Binti Hassan",050941567890,9,5,"5 Cemerlang",M,P,012-0000393,019-1000393,"Alamat Murid 393",true
394,"Ahmad Bin Omar",050942567890,9,5,"5 Cemerlang",M,L,012-0000394,019-1000394,"Alamat Murid 394",true
395,"Siti Binti Rahman",050943567890,9,5,"5 Cemerlang",M,P,012-0000395,019-1000395,"Alamat Murid 395",true
396,"Ahmad Bin Ali",050944567890,9,5,"5 Cemerlang",M,L,012-0000396,019-1000396,"Alamat Murid 396",true
397,"Siti Binti Hassan",051001567890,10,4,"4 Bestari",M,P,012-0000397,019-1000397,"Alamat Murid 397",true
398,"Ahmad Bin Omar",051002567890,10,4,"4 Bestari",M,L,012-0000398,019-1000398,"Alamat Murid 398",true
399,"Siti Binti Rahman",051003567890,10,4,"4 Bestari",M,P,012-0000399,019-1000399,"Alamat Murid 399",true
400,"Ahmad Bin Ali",051004567890,10,4,"4 Bestari",M,L,012-0000400,019-1000400,"Alamat Murid 400",true
401,"Siti Binti Ahmad",051005567890,10,4,"4 Bestari",M,P,012-0000401,019-1000401,"Alamat Murid 401",true
402,"Tan Kar Wai",051006567890,10,4,"4 Bestari",C,L,012-0000402,019-1000402,"Alamat Murid 402",true
403,"Wong Li Ying",051007567890,10,4,"4 Bestari",C,P,012-0000403,019-1000403,"Alamat Murid 403",true
404,"Kumar A/L Raj",051008567890,10,4,"4 Bestari",I,L,012-0000404,019-1000404,"Alamat Murid 404",true
405,"Michelle Wilson",051009567890,10,4,"4 Bestari",L,P,012-0000405,019-1000405,"Alamat Murid 405",true
406,"Ahmad Bin Abdullah",051010567890,10,4,"4 Bestari",M,L,012-0000406,019-1000406,"Alamat Murid 406",true
407,"Siti Binti Hassan",051011567890,10,4,"4 Bestari",M,P,012-0000407,019-1000407,"Alamat Murid 407",true
408,"Ahmad Bin Omar",051012567890,10,4,"4 Cemerlang",M,L,012-0000408,019-1000408,"Alamat Murid 408",true
409,"Siti Binti Rahman",051013567890,10,4,"4 Cemerlang",M,P,012-0000409,019-1000409,"Alamat Murid 409",true
410,"Ahmad Bin Ali",051014567890,10,4,"4 Cemerlang",M,L,012-0000410,019-1000410,"Alamat Murid 410",true
411,"Siti Binti Ahmad",051015567890,10,4,"4 Cemerlang",M,P,012-0000411,019-1000411,"Alamat Murid 411",true
412,"Tan Kar Wai",051016567890,10,4,"4 Cemerlang",C,L,012-0000412,019-1000412,"Alamat Murid 412",true
413,"Wong Li Ying",051017567890,10,4,"4 Cemerlang",C,P,012-0000413,019-1000413,"Alamat Murid 413",true
414,"Kumar A/L Raj",051018567890,10,4,"4 Cemerlang",I,L,012-0000414,019-1000414,"Alamat Murid 414",true
415,"Michelle Wilson",051019567890,10,4,"4 Cemerlang",L,P,012-0000415,019-1000415,"Alamat Murid 415",true
416,"Ahmad Bin Abdullah",051020567890,10,4,"4 Cemerlang",M,L,012-0000416,019-1000416,"Alamat Murid 416",true
417,"Siti Binti Hassan",051021567890,10,4,"4 Cemerlang",M,P,012-0000417,019-1000417,"Alamat Murid 417",true
418,"Ahmad Bin Omar",051022567890,10,4,"4 Cemerlang",M,L,012-0000418,019-1000418,"Alamat Murid 418",true
419,"Siti Binti Rahman",051023567890,10,5,"5 Bestari",M,P,012-0000419,019-1000419,"Alamat Murid 419",true
420,"Ahmad Bin Ali",051024567890,10,5,"5 Bestari",M,L,012-0000420,019-1000420,"Alamat Murid 420",true
421,"Siti Binti Ahmad",051025567890,10,5,"5 Bestari",M,P,012-0000421,019-1000421,"Alamat Murid 421",true
422,"Tan Kar Wai",051026567890,10,5,"5 Bestari",C,L,012-0000422,019-1000422,"Alamat Murid 422",true
423,"Wong Li Ying",051027567890,10,5,"5 Bestari",C,P,012-0000423,019-1000423,"Alamat Murid 423",true
424,"Kumar A/L Raj",051028567890,10,5,"5 Bestari",I,L,012-0000424,019-1000424,"Alamat Murid 424",true
425,"Michelle Wilson",051029567890,10,5,"5 Bestari",L,P,012-0000425,019-1000425,"Alamat Murid 425",true
426,"Ahmad Bin Abdullah",051030567890,10,5,"5 Bestari",M,L,012-0000426,019-1000426,"Alamat Murid 426",true
427,"Siti Binti Hassan",051031567890,10,5,"5 Bestari",M,P,012-0000427,019-1000427,"Alamat Murid 427",true
428,"Ahmad Bin Omar",051032567890,10,5,"5 Bestari",M,L,012-0000428,019-1000428,"Alamat Murid 428",true
429,"Siti Binti Rahman",051033567890,10,5,"5 Bestari",M,P,012-0000429,019-1000429,"Alamat Murid 429",true
430,"Ahmad Bin Ali",051034567890,10,5,"5 Cemerlang",M,L,012-0000430,019-1000430,"Alamat Murid 430",true
431,"Siti Binti Ahmad",051035567890,10,5,"5 Cemerlang",M,P,012-0000431,019-1000431,"Alamat Murid 431",true
432,"Tan Kar Wai",051036567890,10,5,"5 Cemerlang",C,L,012-0000432,019-1000432,"Alamat Murid 432",true
433,"Wong Li Ying",051037567890,10,5,"5 Cemerlang",C,P,012-0000433,019-1000433,"Alamat Murid 433",true
434,"Kumar A/L Raj",051038567890,10,5,"5 Cemerlang",I,L,012-0000434,019-1000434,"Alamat Murid 434",true
435,"Michelle Wilson",051039567890,10,5,"5 Cemerlang",L,P,012-0000435,019-1000435,"Alamat Murid 435",true
436,"Ahmad Bin Abdullah",051040567890,10,5,"5 Cemerlang",M,L,012-0000436,019-1000436,"Alamat Murid 436",true
437,"Siti Binti Hassan",051041567890,10,5,"5 Cemerlang",M,P,012-0000437,019-1000437,"Alamat Murid 437",true
438,"Ahmad Bin Omar",051042567890,10,5,"5 Cemerlang",M,L,012-0000438,019-1000438,"Alamat Murid 438",true
439,"Siti Binti Rahman",051043567890,10,5,"5 Cemerlang",M,P,012-0000439,019-1000439,"Alamat Murid 439",true
440,"Ahmad Bin Ali",051044567890,10,5,"5 Cemerlang",M,L,012-0000440,019-1000440,"Alamat Murid 440",true
441,"Siti Binti Hassan",051101567890,11,4,"4 Bestari",M,P,012-0000441,019-1000441,"Alamat Murid 441",true
442,"Ahmad Bin Omar",051102567890,11,4,"4 Bestari",M,L,012-0000442,019-1000442,"Alamat Murid 442",true
443,"Siti Binti Rahman",051103567890,11,4,"4 Bestari",M,P,012-0000443,019-1000443,"Alamat Murid 443",true
444,"Ahmad Bin Ali",051104567890,11,4,"4 Bestari",M,L,012-0000444,019-1000444,"Alamat Murid 444",true
445,"Siti Binti Ahmad",051105567890,11,4,"4 Bestari",M,P,012-0000445,019-1000445,"Alamat Murid 445",true
446,"Tan Kar Wai",051106567890,11,4,"4 Bestari",C,L,012-0000446,019-1000446,"Alamat Murid 446",true
447,"Wong Li Ying",051107567890,11,4,"4 Bestari",C,P,012-0000447,019-1000447,"Alamat Murid 447",true
448,"Kumar A/L Raj",051108567890,11,4,"4 Bestari",I,L,012-0000448,019-1000448,"Alamat Murid 448",true
449,"Michelle Wilson",051109567890,11,4,"4 Bestari",L,P,012-0000449,019-1000449,"Alamat Murid 449",true
450,"Ahmad Bin Abdullah",051110567890,11,4,"4 Bestari",M,L,012-0000450,019-1000450,"Alamat Murid 450",true
451,"Siti Binti Hassan",051111567890,11,4,"4 Bestari",M,P,012-0000451,019-1000451,"Alamat Murid 451",true
452,"Ahmad Bin Omar",051112567890,11,4,"4 Cemerlang",M,L,012-0000452,019-1000452,"Alamat Murid 452",true
453,"Siti Binti Rahman",051113567890,11,4,"4 Cemerlang",M,P,012-0000453,019-1000453,"Alamat Murid 453",true
454,"Ahmad Bin Ali",051114567890,11,4,"4 Cemerlang",M,L,012-0000454,019-1000454,"Alamat Murid 454",true
455,"Siti Binti Ahmad",051115567890,11,4,"4 Cemerlang",M,P,012-0000455,019-1000455,"Alamat Murid 455",true
